Atomic_Number Symbol     Name     ColorR ColorG ColorB Atomic_Rad_Ang Covalent_Rad_Ang VanDerWalls_Rad_Ang Atomic_Mass 
      80        Hg      mercury     184    184    208       1.76             1.7               1.55           200.59   
      81        Tl     thallium     166    84     77        2.08            1.55               1.96          204.3833  
      82        Pb       lead       87     89     97        1.81            1.54               2.02           207.2    
      83        Bi      bismuth     158    79     181       1.63            1.54               1.7           208.9804  
      84        Po     polonium     171    92      0        1.53            1.68               1.7             209     
      85        At     astatine     117    79     69        1.43             1.7               1.7             210     
      86        Rn       radon      66     130    150       1.34             2.4               1.7             222     
      87        Fr     francium     66      0     102        NaN              2                1.7             223     
      88        Ra      radium       0     125     0         NaN             1.9               1.7             226     
      89        Ac     actinium     112    171    250        NaN            1.88               1.7             227     
      90        Th      thorium      0     186    255        NaN            1.79               1.7          232.03806  
      91        Pa   protactinium    0     161    255        NaN            1.61               1.7          231.03588  
      92         U      uranium      0     143    255        NaN            1.58               1.86         238.02891  
      93        Np     neptunium     0     128    255        NaN            1.55               1.7             237     
      94        Pu     plutonium     0     107    255        NaN            1.53               1.7             239     
      95        Am     americium    84     92     242        NaN            1.51               1.7             243     
      96        Cm      curium      120    92     227        NaN             1.5               1.7             247     
      97        Bk     berkelium    138    79     227        NaN             1.5               1.7             247     
      98        Cf    californium   161    54     212        NaN             1.5               1.7             251     
      99        Es    einsteinium   179    31     212        NaN             1.5               1.7             252     
     100        Fm      fermium     179    31     186        NaN             1.5               1.7             257     
     101        Md    mendelevium   179    13     166        NaN             1.5               1.7             258     
     102        No     nobelium     189    13     135        NaN             1.5               1.7             259     
     103        Lr    lawrencium    199     0     102        NaN             1.5               1.7             262     
     104        Rf   rutherfordium  204     0     89         NaN             1.6               1.7             261     
     105        Db      dubnium     209     0     79         NaN             1.6               1.7             262     
     106        Sg    seaborgium    217     0     69         NaN             1.6               1.7             266     
     107        Bh      bohrium     224     0     56         NaN             1.6               1.7             264     
     108        Hs      hassium     230     0     46         NaN             1.6               1.7             277     
     109        Mt    meitnerium    235     0     38         NaN             1.6               1.7             268     
     110        Ds   darmstadtium   NaN    NaN    NaN        NaN             NaN               NaN             281     
     111        Rg   roentgentium   NaN    NaN    NaN        NaN             NaN               NaN             272     
     112        Cn    copernicum    NaN    NaN    NaN        NaN             NaN               NaN             285     
     113        Uut    ununtrium    NaN    NaN    NaN        NaN             NaN               NaN             284     
     114        Uuq   ununquadium   NaN    NaN    NaN        NaN             NaN               NaN             289     
     115        Uup   ununpentium   NaN    NaN    NaN        NaN             NaN               NaN             288     
     116        Uuh   ununhexium    NaN    NaN    NaN        NaN             NaN               NaN             292     
     117        Uus   ununseptium   NaN    NaN    NaN        NaN             NaN               NaN             NaN     
     118        Uuo   ununoctium    NaN    NaN    NaN        NaN             NaN               NaN             294     
